[17:50:29] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:50:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:50:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:50:29] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:50:30] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:50:30] [main/INFO]: Reloading ResourceManager: Default
[17:50:31] [Worker-Main-5/INFO]: Loaded 7 recipes
[17:50:31] [Worker-Main-5/INFO]: Loaded 927 advancements
[17:50:33] [Server thread/INFO]: Starting minecraft server version 1.16.3
[17:50:33] [Server thread/INFO]: Loading properties
[17:50:33] [Server thread/INFO]: Default game type: SURVIVAL
[17:50:33] [Server thread/INFO]: Generating keypair
[17:50:34] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:50:34] [Server thread/INFO]: Using default channel type
[17:50:42] [Server thread/INFO]: Preparing level "world"
[17:51:01] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:51:02] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[17:51:02] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[17:51:02] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[17:51:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[17:51:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[17:51:04] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[17:51:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[17:51:05] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[17:51:05] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[17:51:06] [Worker-Main-8/INFO]: Preparing spawn area: 2%
[17:51:06] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[17:51:07] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[17:51:07] [Worker-Main-6/INFO]: Preparing spawn area: 3%
[17:51:08] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[17:51:08] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[17:51:09] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[17:51:09] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[17:51:10] [Worker-Main-9/INFO]: Preparing spawn area: 6%
[17:51:11] [Worker-Main-9/INFO]: Preparing spawn area: 7%
[17:51:11] [Worker-Main-9/INFO]: Preparing spawn area: 7%
[17:51:11] [Worker-Main-9/INFO]: Preparing spawn area: 7%
[17:51:12] [Worker-Main-6/INFO]: Preparing spawn area: 7%
[17:51:13] [Worker-Main-6/INFO]: Preparing spawn area: 7%
[17:51:13] [Worker-Main-9/INFO]: Preparing spawn area: 7%
[17:51:13] [Worker-Main-6/INFO]: Preparing spawn area: 7%
[17:51:14] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[17:51:14] [Worker-Main-6/INFO]: Preparing spawn area: 11%
[17:51:15] [Worker-Main-9/INFO]: Preparing spawn area: 11%
